轮轨接触几何参数随轮对横移delty(m)和摇头角phi(degree)的变化
countdy=   241    countphi=   21
----------------------------------------------------------------
侧滚角 alpha (degree)
----------------------------------------------------------------
    deltay   phi= -1.000      -0.900      -0.800      -0.700      -0.600      -0.500      -0.400      -0.300      -0.200      -0.100       0.000       0.100       0.200       0.300       0.400       0.500       0.600       0.700       0.800       0.900       1.000
   -0.010100   -0.358209   -0.357619   -0.357042   -0.356628   -0.356257   -0.355918   -0.355666   -0.355428   -0.355251   -0.355143   -0.355107   -0.355143   -0.355251   -0.355428   -0.355666   -0.355918   -0.356257   -0.356628   -0.357042   -0.357619   -0.358209
   -0.010000   -0.340721   -0.340020   -0.339380   -0.338755   -0.338204   -0.337670   -0.337208   -0.336832   -0.336556   -0.336391   -0.336343   -0.336391   -0.336556   -0.336832   -0.337208   -0.337670   -0.338204   -0.338755   -0.339380   -0.340020   -0.340721
   -0.009900   -0.321741   -0.320722   -0.319738   -0.318745   -0.317881   -0.317289   -0.316738   -0.316284   -0.315946   -0.315737   -0.315667   -0.315737   -0.315946   -0.316284   -0.316738   -0.317289   -0.317881   -0.318745   -0.319738   -0.320722   -0.321741
   -0.009800   -0.300380   -0.298743   -0.297563   -0.296350   -0.295214   -0.294128   -0.293172   -0.292450   -0.292015   -0.291745   -0.291653   -0.291745   -0.292015   -0.292450   -0.293172   -0.294128   -0.295214   -0.296350   -0.297563   -0.298743   -0.300380
   -0.009700   -0.275958   -0.273884   -0.271677   -0.269856   -0.268295   -0.266772   -0.265431   -0.264254   -0.263365   -0.262844   -0.262708   -0.262844   -0.263365   -0.264254   -0.265431   -0.266772   -0.268295   -0.269856   -0.271677   -0.273884   -0.275958
   -0.009600   -0.246440   -0.243473   -0.240092   -0.236925   -0.234280   -0.231632   -0.229029   -0.226986   -0.225727   -0.224954   -0.224672   -0.224954   -0.225727   -0.226986   -0.229029   -0.231632   -0.234280   -0.236925   -0.240092   -0.243473   -0.246440
   -0.009500   -0.208108   -0.202037   -0.195361   -0.188390   -0.182696   -0.177669   -0.173063   -0.170313   -0.167975   -0.166366   -0.165781   -0.166366   -0.167975   -0.170313   -0.173063   -0.177669   -0.182696   -0.188390   -0.195361   -0.202037   -0.208108
   -0.009400   -0.150433   -0.141655   -0.133930   -0.121987   -0.109311   -0.095408   -0.095437   -0.095520   -0.095586   -0.095629   -0.095643   -0.095629   -0.095586   -0.095520   -0.095437   -0.095408   -0.109311   -0.121987   -0.133930   -0.141655   -0.150433
   -0.009300   -0.087896   -0.088253   -0.088580   -0.088873   -0.089131   -0.089351   -0.089532   -0.089674   -0.089776   -0.089837   -0.089857   -0.089837   -0.089776   -0.089674   -0.089532   -0.089351   -0.089131   -0.088873   -0.088580   -0.088253   -0.087896
   -0.009200   -0.085728   -0.085925   -0.086117   -0.086298   -0.086462   -0.086606   -0.086727   -0.086824   -0.086894   -0.086936   -0.086950   -0.086936   -0.086894   -0.086824   -0.086727   -0.086606   -0.086462   -0.086298   -0.086117   -0.085925   -0.085728
