       Node,    Mode,   Dis
       1,       7,      0.000000E+00,      0.000000E+00,     -2.378816E-09,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,       7,      0.000000E+00,      0.000000E+00,      2.378816E-09,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,       7,     -4.656981E-18,      4.087689E-18,      1.250540E-03,      1.124750E-04,      7.317032E-05,     -3.824370E-18	
      34,       7,     -5.427625E-18,      1.895906E-19,      1.177326E-03,      1.054453E-04,      7.330273E-05,     -4.002507E-18	
      41,       7,      7.770715E-18,     -8.395745E-19,      6.487452E-04,      5.623749E-05,      7.842305E-05,      1.230949E-18	
      49,       7,      3.760944E-18,     -3.703236E-18,      7.677073E-16,      3.079919E-17,      8.254828E-05,      1.522988E-18	
      57,       7,     -2.657194E-18,      7.637994E-18,     -6.487452E-04,     -5.623749E-05,      7.842305E-05,      2.647921E-18	
      65,       7,     -8.594690E-18,     -1.875971E-18,     -1.250540E-03,     -1.124750E-04,      7.317032E-05,     -9.169526E-19	


       Node,    Mode,   Dis
       1,       8,      0.000000E+00,      0.000000E+00,      3.241606E-18,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,       8,      0.000000E+00,      0.000000E+00,     -6.155527E-18,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,       8,      2.858810E-18,      1.469519E-04,      9.368924E-18,      4.699547E-18,      2.670576E-17,      2.279942E-04	
      34,       8,     -1.822160E-18,      3.733796E-04,     -9.691091E-18,      3.505282E-18,      3.581867E-18,      2.232947E-04	
      41,       8,      1.078371E-17,      1.273787E-03,     -1.945759E-18,     -5.003793E-18,      6.088804E-18,     -1.024657E-05	
      49,       8,     -1.689349E-17,      1.147549E-16,      8.613154E-18,     -1.473052E-17,      2.956128E-17,     -2.439721E-04	
      57,       8,      6.278188E-18,     -1.273787E-03,      1.428491E-17,     -2.445102E-17,      8.671687E-18,     -1.024657E-05	
      65,       8,      7.635940E-18,     -1.469519E-04,     -3.788518E-17,     -3.420631E-17,     -2.182269E-18,      2.279942E-04	


       Node,    Mode,   Dis
       1,       9,      0.000000E+00,      0.000000E+00,     -2.709045E-18,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,       9,      0.000000E+00,      0.000000E+00,      4.441795E-18,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,       9,      5.301738E-05,     -3.958838E-17,     -3.474804E-16,      3.293748E-17,     -2.484246E-17,      6.614723E-17	
      34,       9,      3.474104E-05,      2.238038E-17,     -3.129431E-16,      3.205696E-17,     -5.551880E-17,      5.302047E-17	
      41,       9,     -9.302821E-05,      1.849268E-18,      1.231134E-16,      2.587037E-17,     -5.267776E-17,     -9.893887E-19	
      49,       9,     -2.220074E-04,     -3.403268E-18,      3.001176E-16,      1.880917E-17,     -3.378508E-17,      3.581210E-18	
      57,       9,     -3.102586E-04,      6.460707E-17,      5.352765E-17,      1.173960E-17,      6.095322E-17,      3.458710E-18	
      65,       9,     -3.415917E-04,     -8.057288E-17,     -3.905834E-16,      4.658559E-18,      6.319648E-17,     -5.315281E-17	


       Node,    Mode,   Dis
       1,      10,      0.000000E+00,      0.000000E+00,     -7.016792E-10,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,      10,      0.000000E+00,      0.000000E+00,     -7.016792E-10,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,      10,      6.874025E-19,     -8.663446E-17,      1.223079E-03,      8.723266E-05,      2.087049E-04,     -1.403178E-17	
      34,      10,      2.372154E-17,     -8.828791E-17,      1.014553E-03,      8.723266E-05,      2.081673E-04,      2.264575E-17	
