       Node,    Mode,   Dis
    3029,       5,     -1.092882E-20,      1.584692E-06,      2.621355E-13,      4.344407E-13,     -7.531539E-17,      4.233047E-09	
    4029,       5,     -1.343750E-19,      4.981049E-06,      8.239524E-13,      1.365547E-12,     -2.366602E-16,      1.330544E-08	
    5029,       5,     -5.317111E-20,      9.957254E-06,      1.647104E-12,      2.729765E-12,     -4.730967E-16,      2.659793E-08	
    6029,       5,      4.832445E-20,      3.561459E-07,      5.891257E-14,      9.763675E-14,     -1.693329E-17,      9.513411E-10	
    7029,       5,      6.521445E-20,      1.270026E-03,      2.100844E-10,      3.481755E-10,     -6.034364E-14,      3.392507E-06	
    8029,       5,     -5.114177E-20,     -5.310005E-07,     -8.783695E-14,     -1.455730E-13,      2.522012E-17,     -1.418415E-09	
    9029,       5,     -3.778494E-20,     -6.501137E-07,     -1.075403E-13,     -1.782276E-13,      3.087732E-17,     -1.736591E-09	
   10029,       5,     -3.464408E-21,     -8.830006E-06,     -1.460637E-12,     -2.420732E-12,      4.195475E-16,     -2.358682E-08	


       Node,    Mode,   Dis
    1029,       6,      1.655691E-19,     -3.318956E-07,     -5.490173E-14,     -9.098874E-14,      1.575693E-17,     -8.865633E-10	
    2029,       6,     -1.630282E-20,     -5.459277E-07,     -9.030609E-14,     -1.496652E-13,      2.597496E-17,     -1.458289E-09	
    3029,       6,      1.859961E-20,     -2.999687E-07,     -4.961993E-14,     -8.223591E-14,      1.428297E-17,     -8.012798E-10	
    4029,       6,     -1.130330E-19,      9.415872E-07,      1.557549E-13,      2.581346E-13,     -4.476789E-17,      2.515179E-09	
    5029,       6,      6.114418E-20,     -8.140962E-06,     -1.346657E-12,     -2.231832E-12,      3.867972E-16,     -2.174623E-08	
    6029,       6,     -5.634428E-20,      1.270071E-03,      2.100919E-10,      3.481879E-10,     -6.034582E-14,      3.392628E-06	
    7029,       6,      4.317564E-21,     -2.995389E-07,     -4.954889E-14,     -8.211820E-14,      1.423196E-17,     -8.001318E-10	
    8029,       6,      4.239907E-21,     -5.371837E-06,     -8.885956E-13,     -1.472681E-12,      2.552229E-16,     -1.434931E-08	
    9029,       6,     -4.246258E-20,     -1.739057E-06,     -2.876702E-13,     -4.767596E-13,      8.263109E-17,     -4.645390E-09	
   10029,       6,      1.807127E-20,      3.503472E-09,      5.794738E-16,      9.604114E-16,     -2.266694E-19,      9.358515E-12	


       Node,    Mode,   Dis
    1029,       7,      6.001509E-20,     -2.188448E-06,     -3.620075E-13,     -5.999596E-13,      1.039760E-16,     -5.845808E-09	
    2029,       7,      8.327513E-20,     -3.183640E-06,     -5.266295E-13,     -8.727898E-13,      1.512918E-16,     -8.504175E-09	
    3029,       7,     -3.672675E-20,      3.790738E-07,      6.270539E-14,      1.039225E-13,     -1.799918E-17,      1.012586E-09	
    4029,       7,      1.570447E-19,      3.086613E-05,      5.105796E-12,      8.461900E-12,     -1.466580E-15,      8.244997E-08	
    5029,       7,      6.187506E-20,      1.267706E-03,      2.097007E-10,      3.475397E-10,     -6.023344E-14,      3.386312E-06	
    6029,       7,     -2.852492E-20,      7.798136E-06,      1.289948E-12,      2.137847E-12,     -3.705306E-16,      2.083047E-08	
    7029,       7,     -3.222897E-20,     -1.012994E-05,     -1.675668E-12,     -2.777106E-12,      4.812924E-16,     -2.705921E-08	
    8029,       7,     -2.248254E-20,     -7.031010E-05,     -1.163052E-11,     -1.927540E-11,      3.340733E-15,     -1.878132E-07	
    9029,       7,      1.620955E-19,     -2.320979E-06,     -3.839303E-13,     -6.362926E-13,      1.102887E-16,     -6.199825E-09	
   10029,       7,     -1.871542E-19,     -4.520484E-06,     -7.477669E-13,     -1.239283E-12,      2.147974E-16,     -1.207517E-08	


       Node,    Mode,   Dis
    1029,       8,     -1.050612E-19,     -4.744566E-07,     -7.848335E-14,     -1.300716E-13,      2.255352E-17,     -1.267374E-09	
    2029,       8,      5.113134E-20,      8.592584E-08,      1.421365E-14,      2.355646E-14,     -4.091222E-18,      2.295261E-10	
    3029,       8,     -8.554294E-20,      1.683081E-07,      2.784109E-14,      4.614142E-14,     -7.980357E-18,      4.495866E-10	
